,word,weight
195,angry,0.6882657110030863
196,animal,1.383331950436827
197,ankle,0.7464126708141184
198,anne,0.6219098045623596
199,anniversary,1.0649454931302762
200,announce,1.1278244653405571
201,announced,4.491211796823344
202,announcement,2.024708424108195
203,announcing,0.9394375072731846
204,annual,2.4529413879034263
205,anonymity,0.7611733685817835
206,anonymous,0.5719101646212095
207,another,7.33708766798837
208,answer,1.6998155635144216
209,answered,0.6107720280253637
210,answers,0.720665149561742
211,anthony,1.6068449358786299
212,anticipate,0.4983806243023626
213,anticipated,0.4451552067535016
214,antonio,1.474586852905033
215,any,6.9782213306424845
216,anybody,1.1823242699016916
217,anymore,0.7281561670929689
218,anyone,2.645617076007346
219,anything,2.7272998054646638
220,anyway,0.7174019404690383
221,anywhere,0.571876271245529
222,ap,1.2935563727108015
